,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
11745,tt5439812,movie,Zola,2020,86,"Comedy,Crime,Drama",6.5,14408
11746,tt5440700,movie,Theri,2016,157,"Action,Crime,Thriller",7.3,20402
11747,tt5442430,movie,Life,2017,104,"Horror,Sci-Fi,Thriller",6.6,231398
11748,tt5442456,movie,24 Hours to Live,2017,93,"Action,Sci-Fi,Thriller",5.8,14747
11750,tt5456546,movie,Judwaa 2,2017,145,"Action,Comedy",3.6,10959
11752,tt5460276,movie,Kaabil,2017,139,"Action,Crime,Drama",7.1,27276
11753,tt5460658,movie,Life and a Day,2016,112,Drama,8.2,15493
11754,tt5460880,movie,Ideal Home,2018,91,"Comedy,Drama",6.4,11936
11755,tt5461944,movie,Hotel Mumbai,2018,123,"Action,Drama,History",7.6,64458
11756,tt5462326,movie,Mom and Dad,2017,86,"Comedy,Horror,Thriller",5.5,24290
11757,tt5462602,movie,The Big Sick,2017,120,"Comedy,Drama,Romance",7.5,135802
11758,tt5463162,movie,Deadpool 2,2018,119,"Action,Adventure,Comedy",7.7,577470
11760,tt5466186,movie,7 Days in Entebbe,2018,107,"Action,Drama,History",5.8,16049
11761,tt5478478,movie,Hostiles,2017,134,"Drama,Western",7.2,85696
11765,tt5500218,movie,Samaritan,2022,102,"Action,Drama,Fantasy",5.7,41620
11766,tt5501104,movie,Border,2018,110,"Crime,Drama,Fantasy",7.0,30420
11767,tt5503686,movie,Hustlers,2019,110,"Comedy,Crime,Drama",6.3,100385
11771,tt5516328,movie,Ghost Stories,2017,98,"Drama,Horror",6.4,34767
11772,tt5519340,movie,Bright,2017,117,"Action,Fantasy,Thriller",6.3,189664
11773,tt5523010,movie,The Nutcracker and the Four Realms,2018,99,"Adventure,Family,Fantasy",5.5,33690
11777,tt5536610,movie,Private Life,2018,123,"Comedy,Drama",7.2,19948
11778,tt5536736,movie,The Meyerowitz Stories,2017,112,"Comedy,Drama",6.9,49568
11779,tt5539052,movie,The Polka King,2017,95,"Biography,Comedy,Drama",6.0,10775
11780,tt5539054,movie,You Get Me,2017,89,"Crime,Drama,Romance",4.7,13304
11782,tt5541240,movie,To the Bone,2017,107,Drama,6.8,49962
11784,tt5541848,movie,What the Health,2017,97,Documentary,7.2,29465
11787,tt5555502,movie,The African Doctor,2016,96,"Biography,Comedy,Drama",7.0,11680
11789,tt5562070,movie,Wish Dragon,2021,98,"Adventure,Animation,Comedy",7.2,27011
11790,tt5563324,movie,Intrusion,2021,92,"Drama,Thriller",5.2,17390
11791,tt5563334,movie,The Good Liar,2019,109,"Crime,Drama,Mystery",6.7,42209
11793,tt5566790,movie,A Futile and Stupid Gesture,2018,101,"Biography,Comedy",6.7,16443
11795,tt5571734,movie,Pink,2016,136,"Crime,Drama,Thriller",8.1,45393
11798,tt5580036,movie,"I, Tonya",2017,119,"Biography,Comedy,Drama",7.5,215717
11800,tt5580266,movie,The Hate U Give,2018,133,"Crime,Drama",7.4,36670
11801,tt5580390,movie,The Shape of Water,2017,123,"Drama,Fantasy,Romance",7.3,418536
11804,tt5591666,movie,The Domestics,2018,95,"Action,Horror,Sci-Fi",5.7,10033
11805,tt5592248,movie,The Beguiled,2017,93,"Drama,Thriller,War",6.3,57991
11806,tt5592878,movie,Errementari,2017,98,"Adventure,Fantasy,Horror",6.4,12114
11807,tt5595168,movie,Kingsglaive: Final Fantasy XV,2016,110,"Action,Adventure,Animation",6.7,21921
11808,tt5598102,movie,Faces Places,2017,94,Documentary,7.8,12611
11809,tt5598292,movie,Polaroid,2019,88,"Drama,Horror,Mystery",5.1,14499
11810,tt5606664,movie,Doctor Sleep,2019,152,"Drama,Fantasy,Horror",7.3,192301
11811,tt5607028,movie,Fullmetal Alchemist,2017,135,"Action,Adventure,Fantasy",5.3,20461
11812,tt5607096,movie,"Juliet, Naked",2018,97,"Comedy,Drama,Music",6.6,22925
11814,tt5607714,movie,On Body and Soul,2017,116,"Drama,Fantasy,Mystery",7.5,27901
11816,tt5610554,movie,Tully,2018,95,"Comedy,Drama,Mystery",6.9,59566
11818,tt5613484,movie,Mid90s,2018,85,"Comedy,Drama",7.3,65683
11821,tt5616294,movie,Spinning Man,2018,100,"Drama,Mystery,Thriller",5.6,11482
11823,tt5619332,movie,Life of the Party,2018,105,Comedy,5.6,37498
11826,tt5628302,movie,Beast,2017,107,"Crime,Drama,Mystery",6.8,13920
11827,tt5635086,movie,God's Own Country,2017,104,"Drama,Romance",7.6,31293
11829,tt5638642,movie,The Ritual,2017,94,"Horror,Mystery,Thriller",6.3,101294
11830,tt5639354,movie,A Fantastic Woman,2017,104,Drama,7.2,25820
11832,tt5640450,movie,ARQ,2016,88,"Action,Sci-Fi,Thriller",6.3,39586
